-55, 161, 1
-53, -60, 5
143, -176, 1
-4, 180, 4
151, 9, 4
157, -101, 2
17, -28, 0
-120, -55, 2
-44, 231, 1
241, -246, 4
168, 55, 2
160, -228, 4
-19, -13, 5
-59, 180, 2
-87, -26, 3
191, 116, 1
-74, 120, 3
152, 38, 3
92, 69, 4
-20, 243, 0
163, -145, 3
-176, -137, 5
51, -120, 3
58, -145, 5
-199, -77, 0
204, 95, 1
-164, -197, 0
-17, 209, 1
203, -93, 5
119, 184, 1
-112, 97, 2
11, -123, 2
-52, -137, 0
161, 173, 1
2, 10, 3
87, 171, 4
77, -128, 5
-195, -76, 3
153, -209, 1
-233, 183, 0
75, -82, 2
67, 248, 1
-243, -44, 4
-76, -33, 3
-117, 231, 4
-36, 18, 0
156, 216, 0
63, -238, 1
-37, -250, 5
62, 156, 4
-26, 35, 4
154, -211, 5
-222, -246, 1
-54, -225, 0
-45, -87, 3
-75, -186, 3
201, 202, 0
-2, 203, 0
-17, 91, 4
-194, -218, 1
28, -125, 3
49, 151, 5
235, 229, 0
133, -100, 4
238, -195, 1
-73, 167, 1
155, -185, 0
168, -220, 1
-240, 122, 2
-132, 7, 1
-221, 41, 5
-13, 45, 4
70, -196, 2
9, -39, 5
63, 142, 1
-143, 115, 1
-42, 102, 3
90, -104, 4
-32, 192, 0
182, -131, 0
42, 106, 3
-240, -95, 4
156, 58, 2
-120, 72, 5
-216, 43, 0
138, -33, 3
-109, -150, 4
-175, -194, 4
-203, -54, 5
-242, -27, 3
-133, -189, 2
99, -119, 4
-225, -105, 5
-82, -92, 1
107, 192, 3
-147, 143, 2
101, 43, 2
-94, 134, 0
129, -149, 4
-130, -229, 3
-108, 196, 3
-204, -61, 5
217, -71, 4
239, 195, 0
187, 153, 3
-130, 237, 4
-243, 78, 4
149, 224, 0
-140, 91, 5
-53, -56, 2
-250, 153, 1
-119, -72, 0
35, -107, 1
-49, -16, 3
-90, -74, 3
61, -90, 1
50, -135, 3
92, -33, 1
-159, 100, 0
149, 44, 4
6, -132, 5
-36, -73, 1
94, -166, 5
86, -165, 1
148, -224, 2
141, -35, 0
242, -14, 0
-218, -240, 0
-49, 97, 2
233, 57, 2
153, -130, 1
-139, 199, 1
226, 5, 5
211, 117, 1
17, 71, 5
73, 224, 0
231, 130, 2
-37, -95, 4
44, -200, 3
-242, 218, 2
-149, -33, 2
-78, 52, 1
-38, -149, 0
-108, 157, 1
-222, -70, 2
-67, -71, 3
139, 127, 0
-46, 44, 4
198, 201, 5
196, 18, 4
-153, -222, 5
-9, -69, 2
-72, -82, 0
39, -33, 1
-160, -150, 1
196, 196, 2
227, -54, 1
9, 180, 4
78, 119, 3
170, 216, 4
89, -165, 5
113, 60, 4
-194, -216, 1
-190, -50, 5
-87, 243, 4
83, 229, 1
185, 44, 3
167, 133, 1
110, -191, 1
-17, 87, 1
32, 24, 0
235, 125, 1
-114, -195, 1
-7, 166, 3
-52, -41, 4
-169, 204, 3
-22, -188, 4
-107, -95, 3
115, 53, 3
-131, -205, 5
10, -122, 5
138, -98, 4
7, 29, 0
-20, -176, 0
-97, 210, 4
99, -44, 5
20, 149, 4
115, -124, 0
45, 212, 1
-234, -242, 5
-78, -116, 1
-146, 21, 5
151, 249, 5
229, 159, 1
61, 117, 1
-1, 239, 1
-243, 68, 5
-138, -202, 1
-89, -113, 3
-15, -79, 3
64, -244, 2
230, 10, 5
-84, -47, 2
-224, 10, 3
-47, -106, 0
-101, -249, 0
16, 76, 1
-91, 46, 2
-103, 125, 1
-228, 23, 4
-13, -17, 2
-140, -39, 3
62, -166, 2
162, 141, 2
-69, 128, 2
-201, 215, 3
-110, 51, 5
61, -242, 2
-141, 72, 2
5, -109, 0
141, 79, 1
135, -229, 1
45, 125, 5
-127, -221, 3
-135, -184, 2
-107, 238, 1
125, -48, 4
-22, -54, 0
-222, -124, 3
-7, -2, 1
173, 129, 5
232, 84, 3
-48, 154, 5
-223, -89, 2
152, -131, 4
233, 63, 5
13, 114, 4
139, -106, 4
-34, 211, 4
86, -250, 5
137, 197, 5
93, 11, 1
-5, 63, 0
-35, 31, 0
60, -182, 2
188, 123, 4
-211, -141, 3
85, -21, 2
183, 49, 1
188, -98, 3
-24, 247, 1
-183, 58, 4
-77, -25, 1
-206, 59, 4
-111, 193, 5
201, -231, 1
-142, 79, 2
162, -34, 3
-101, -73, 0
-86, -121, 3
41, -48, 3
-200, 19, 2
45, 169, 1
-212, 208, 1
187, 187, 4
-168, -100, 4
